institution,month,event_count,events_last_6m,peer_events_last_6m,y_next_6m
Citizens National Bank & Trust Of Hazard,2001-02-01,0,0,8,0
Citizens National Bank Of Weatherford,1997-07-01,0,0,14,0
Citizens National Bank Of Weatherford,2022-02-01,0,0,5,0
The Citizens National Bank of Hammond,2003-06-01,0,0,12,0
"Citibank, N.A.",2002-04-01,0,0,3,0
"Chase Bank of Texas, National Association",1995-03-01,0,0,0,0
Citic Ka Wah Bank Limited,2000-01-01,0,0,4,0
"Wells Fargo Bank, N.A.",2018-01-01,0,0,14,0
"Bank Of America Texas, N.A.",2010-09-01,0,0,8,0
The Citizens National Bank of Lebanon,2019-09-01,0,0,7,0
The Citizens National Bank Of Hammond,2015-07-01,0,0,19,0
Citizens National Bank Of Hammond,2018-03-01,0,0,9,0
Wells Fargo,2024-07-01,0,0,30,0
"Citicorp Trust, N.A.",1995-01-01,0,0,1,0
"First Citizens Bank, National Association",2006-07-01,0,0,9,0
Citizens National Bank Of Walnut Ridge,2004-09-01,0,0,8,0
"Wells Fargo Bank (Colorado), National Association",2016-05-01,0,0,3,0
Citizens National Bank of Texas,1994-02-01,0,0,9,0
Citizens First National Bank,2020-10-01,0,0,19,0
"Bank of America Texas, N.A.",2016-08-01,0,0,1,0
"Chase Bank USA, National Association",2019-12-01,0,0,11,0
First National Bank of The Mid-Cities,2024-02-01,0,0,23,0
Bay Cities National Bank,2018-06-01,0,0,12,0
Citizens First National Bank Of New Jersey,2012-12-01,0,0,13,0
Citizens National Bank Of Albion,2008-04-01,0,0,4,0
Citizens National Bank & Trust Of Hazard,2023-07-01,0,0,8,0
"Chase Bank USA, National Association",2022-12-01,0,0,8,0
United Citizens National Bank,2013-08-01,0,0,7,0
Citizens National Bank & Trust Of Hazard,2016-06-01,0,0,3,0
Bay Cities National Bank,2020-01-01,0,0,25,0
"Citizens S&LA, FSB",2015-11-01,0,0,27,0
Citizens National Bank Of Norwalk,1991-02-01,0,0,4,1
Citizens National Bank of Texas,2000-05-01,0,0,14,0
Citizens National Bank of Paintsville,2010-11-01,0,0,11,0
Bank Of America,1995-07-01,0,0,1,0
"Citibank, National Association",1999-01-01,0,0,2,0
"Wells Fargo Bank Arizona, National Association",2010-06-01,0,0,9,0
"Wells Fargo Bank, N.A.",2017-04-01,0,0,4,0
"The Citizens National Bank and Trust Company, El Reno, Oklahoma",2022-01-01,0,0,5,0
Citizens National Bank Of Walnut Ridge,1998-11-01,0,0,2,0
"Chase Bank of Texas, National Association",1993-10-01,0,0,9,0
Bank of America,1990-09-01,0,0,2,0
